iter	Passed	Remaining
0	5	785
1	9	719
2	13	683
3	16	649
4	21	653
5	24	622
6	28	603
7	31	585
8	33	550
9	36	540
10	39	527
11	42	515
12	45	505
13	48	498
14	51	491
15	55	485
16	58	479
17	61	476
18	65	474
19	68	472
20	72	466
21	75	464
22	78	459
23	81	453
24	85	449
25	88	445
26	91	441
27	95	438
28	98	433
29	101	428
30	104	424
31	107	421
32	111	418
33	114	414
34	117	410
35	120	406
36	124	404
37	128	401
38	131	398
39	135	396
40	138	393
41	141	388
42	144	383
43	147	378
44	150	374
45	153	371
46	157	367
47	160	364
48	163	360
49	166	357
50	170	353
51	173	349
52	176	346
53	179	342
54	183	339
55	186	336
56	189	332
57	192	328
58	195	325
59	198	321
60	201	317
61	205	314
62	207	310
63	210	306
64	214	303
65	217	299
66	220	296
67	223	292
68	226	288
69	230	285
70	234	283
71	237	280
72	241	277
73	244	274
74	249	272
75	253	269
76	256	266
77	260	264
78	264	260
79	267	257
80	270	253
81	272	248
82	275	245
83	278	242
84	281	238
85	285	235
86	288	232
87	291	228
88	295	225
89	298	222
90	301	218
91	305	216
92	309	213
93	313	210
94	317	207
95	321	204
96	324	200
97	328	198
98	332	194
99	336	191
100	340	188
101	343	185
102	346	181
103	350	178
104	354	175
105	357	171
106	360	168
107	364	165
108	368	162
109	371	158
110	375	155
111	378	152
112	382	148
113	385	145
114	389	142
115	393	138
116	396	135
117	401	132
118	404	129
119	408	126
120	412	122
121	416	119
122	420	116
123	425	113
124	430	110
125	435	107
126	440	104
127	447	101
128	452	98
129	457	94
130	461	91
131	465	88
132	470	84
133	474	81
134	479	78
135	483	74
136	489	71
137	495	68
138	501	64
139	505	61
140	510	57
141	516	54
142	521	51
143	525	47
144	529	43
145	533	40
146	537	36
147	542	32
148	545	29
149	549	25
150	552	21
151	556	18
152	559	14
153	563	10
154	567	7
155	571	3
156	575	0
