track_id,track_name,artist_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_viral
6KwkVtXm8OUp2XffN5k7lY,No Other Name,Hillsong Worship,50,440247,0,0.369,0.598,7,-6.984,1,0.0304,0.00511,0.0,0.176,0.0466,148.014,4,0
2dp5I5MJ8bQQHDoFaNRFtX,Failed Organum,Internal Rot,11,93933,0,0.171,0.997,7,-3.586,1,0.118,0.00521,0.801,0.42,0.0294,122.223,4,0
5avw06usmFkFrPjX8NxC40,"Save the Trees, Pt. 1",Zhoobin Askarieh;Ali Sasha,0,213578,0,0.173,0.803,9,-10.071,0,0.144,0.613,0.00191,0.195,0.0887,75.564,3,0
75hT0hvlESnDJstem0JgyR,Merry Christmas,Bryan Adams,0,151387,0,0.683,0.511,6,-5.598,1,0.0279,0.406,0.000197,0.111,0.598,109.991,3,0
4bY2oZGA5Br3pTE1Jd1IfY,月の大きさ,Nogizaka46,57,236293,0,0.555,0.941,9,-3.294,0,0.0481,0.484,0.0,0.266,0.813,92.487,4,0
2zQt5C0AIv27RhfJCRZdZ4,"Jah Jah Revolta, Pt. 2",BaianaSystem,38,309493,0,0.776,0.8,8,-4.704,0,0.0438,0.00631,0.0731,0.35,0.583,143.989,4,0
6BctgCJXlgxYeR0ObhLdtR,Please Stop Communicating,Joe DeRosa,21,496201,0,0.627,0.815,6,-6.959,0,0.911,0.785,0.0,0.744,0.532,119.197,5,0
1LDQFdGTEXOnycDC8CJ5p1,A Form of Protest,Cane Hill,54,189405,0,0.395,0.933,11,-3.6,0,0.116,8.74e-06,0.0125,0.328,0.194,92.53,4,0
2DDR5F7bHFJBiX6lPPsT8O,I'm Ready - Radio Edit,Kano,29,209226,0,0.914,0.766,5,-5.662,1,0.0387,0.192,0.65,0.0747,0.9,126.632,4,0
2ScU6iEvgb0TIuKiyem9rg,Proibida Pra Mim (Grazon) - Ao Vivo,Charlie Brown Jr.,48,151666,0,0.345,0.976,8,-4.74,1,0.0487,0.000587,0.0507,0.487,0.818,181.121,4,0
4ifiz8TRTNdG9ORNWh2P0Q,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,Kacey Musgraves;Lana Del Rey,0,132108,0,0.469,0.183,5,-15.414,1,0.0407,0.829,0.0,0.71,0.381,139.592,4,0
5xWxnLpw8ooMW1nJwY2hui,時間がない,KIRINJI,0,284160,0,0.772,0.675,11,-9.154,0,0.0366,0.124,0.0121,0.102,0.68,126.033,4,0
3i2L1PRDEwWcUC03y95UPG,Sur,Aníbal Troilo Y Su Orquesta Típica;Roberto Goyeneche,28,237573,0,0.423,0.401,2,-11.219,0,0.0449,0.726,0.0,0.269,0.507,111.213,4,0
46JGS5Gcz5TilUnqGGHnnl,Pega pega (Participação especial de Jojo Maronttinni) - Ao vivo,Imaginasamba;Jojo Maronttinni,50,222184,0,0.511,0.751,11,-4.731,1,0.0924,0.844,0.0,0.962,0.732,158.1,4,0
5pq4v03P5PxMcnCagg4S3Z,In Case You Didn’t Know,Boyce Avenue,60,225165,0,0.633,0.299,11,-7.798,1,0.0353,0.833,0.0,0.109,0.341,147.549,4,0
08HJeHs0U9iSbDWX0sWIem,O Sopro do Fole,Maria Bethânia,41,169371,0,0.524,0.0856,9,-17.766,1,0.0999,0.739,0.0,0.0919,0.316,93.672,4,0
198v7BbjXn2GTeI4NkBN39,Vi Mamãe Oxum Na Cachoeira - Live,Mariene De Castro,39,105240,0,0.59,0.697,5,-8.046,1,0.0323,0.75,0.000163,0.621,0.815,126.911,4,0
6bl8PFDgYxbDZHk0LRQhhz,Me Gabber - DJ Paul Elstak & The BeatKrusher Remix,Jebroer;Paul Elstak;The BeatKrusher,22,205351,0,0.553,0.928,7,-3.544,0,0.13,0.0251,0.0,0.171,0.305,160.044,4,0
0b11D9D0hMOYCIMN3OKreM,Into Your Arms (feat. Ava Max),Witt Lowry;Ava Max,77,186022,1,0.504,0.788,3,-4.113,0,0.215,0.0134,0.0,0.363,0.228,170.039,4,1
2pXg8l1JGZ3hCyFqxirV13,Mocca,Lalo Ebratt;Trapical,0,200293,0,0.786,0.696,1,-5.343,0,0.352,0.183,0.0,0.123,0.591,97.956,4,0
3dJj6o9o1fRgrojWjailuz,Nobody Can Save Me,Linkin Park,61,225546,0,0.645,0.688,11,-4.749,1,0.0341,0.0107,0.0,0.186,0.433,139.957,4,0
0rWLHJnMyJaMFA8x9l8AT0,all the good girls go to hell,Billie Eilish,3,168839,0,0.854,0.446,1,-8.957,0,0.198,0.313,0.215,0.156,0.57,92.545,4,0
36kDrsAPQ62bI32WPrlJew,Machine Spirit,ZITH;Misanthropix,17,228571,0,0.643,0.956,1,-3.385,1,0.051,0.000458,0.78,0.228,0.515,104.99,4,0
0lASm1brReAnrOirk2f0a2,Bear Crawl,Christopher Zondaflex Tyler,13,97620,0,0.738,0.499,1,-14.344,1,0.546,0.21,0.0,0.569,0.806,88.916,4,0
1WhGXbgwPOTDPB4ZsJBIDG,Time To Jack,Chip E.,7,354960,0,0.813,0.863,1,-8.587,1,0.0563,0.00024,0.89,0.109,0.717,122.93,4,0
2xIbHYxBs1fiR4NkPc8z33,Ready fi di party,Tony Matterhorn,19,59600,0,0.911,0.616,1,-12.46,1,0.272,0.569,0.00795,0.154,0.467,120.999,4,0
6NPTmYw2yMu0Oz0IJkoxeR,Mis Noches Te Recuerdan,Los Tukas,33,134400,0,0.643,0.574,0,-5.427,1,0.035,0.583,0.0,0.0492,0.845,108.002,4,0
0Xs1Yh44j5cIgUQtOCBcQj,Sometimes Love,Apache Indian,3,242213,0,0.652,0.806,2,-3.875,0,0.0797,0.133,0.0,0.281,0.88,107.883,4,0
5TcuM4sQFHK747kwB2q1Qy,Everybody Loves Louis,Annaleigh Ashford,22,219333,0,0.521,0.189,1,-10.74,1,0.0478,0.892,0.0,0.0824,0.301,117.833,4,0
4bh9zPGpEX1yl9Do6rkhHr,Planet Zero,Shinedown,0,222738,0,0.416,0.964,9,-2.967,1,0.112,2.35e-05,0.000875,0.473,0.212,157.925,4,0
7vk7u7kaqw5A6BtkfoxQf3,Do You?,Yiruma,46,292906,0,0.435,0.101,7,-18.753,1,0.0487,0.992,0.926,0.101,0.222,107.449,4,0
72jbDTw1piOOj770jWNeaG,Paris,The Chainsmokers,74,221506,0,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,4,1
4zD9RBG51Lj8bnQwolLnyu,Wild Life,OneRepublic,45,267117,0,0.479,0.762,2,-7.86,1,0.0378,0.00711,0.011,0.0965,0.0519,115.956,4,0
7MiYNyj5si5yiWyeSkgzqB,Joda - Worakls Remix,Joachim Pastor;Worakls,50,338086,0,0.757,0.678,3,-11.225,0,0.0323,0.0399,0.849,0.129,0.13,115.01,4,0
6suU440DRXoxpLNKWf46XJ,O Resgate,Realidade Cruel,48,415660,0,0.553,0.732,7,-5.206,0,0.262,0.622,0.0,0.163,0.436,152.59,4,0
5ueWiIP0QQcAqbMutT1Ng0,La Mala,Balbi El Chamako,39,221184,1,0.628,0.787,10,-6.809,1,0.139,0.0059,0.0,0.124,0.377,172.045,4,0
49Z1VQivkHoY5KGdUwMv5i,Silo (feat. fknsyd),RL Grime;Hex Cougar;fknsyd,55,247500,0,0.472,0.933,5,-4.985,0,0.195,0.0632,0.367,0.0678,0.326,159.949,4,0
1WDDMw1k46OS4W2IGxmLzj,Ferxxo 100,Feid,4,167760,0,0.705,0.562,8,-3.378,0,0.0674,0.257,0.0,0.137,0.569,163.893,4,0
5tmcGYwmon8ufw9igbwwKk,Making Music,Blake Rules;Netherfriends,13,146086,0,0.782,0.342,0,-15.203,1,0.0721,0.299,0.0237,0.103,0.345,115.018,4,0
5Iqh58mh9xHzOkXNorHibJ,Ruega por Mí (Prega Per Me),Estela Nuñez,30,201493,0,0.494,0.404,0,-10.108,1,0.0299,0.847,0.0,0.122,0.386,96.387,3,0
5llrpUzc5oZ4U2RLruiDeI,Holding,Yonder Mountain String Band,33,537106,0,0.472,0.702,9,-8.965,1,0.0981,0.82,4.25e-05,0.362,0.351,104.656,4,0
